,seller_id,seller_city_x,seller_state_x,product_id_x,product_category_name_x,seller_city_y,seller_state_y,product_id_y,product_category_name_y,Delivery_time,review_avg,total_orders,total_income
2366,3072,niteroi,RJ,1,1,niteroi,RJ,1,1,8.0,4.0,1,39.9
2367,766,caieiras,SP,4,1,caieiras,SP,4,1,,1.0,4,463.96
2368,777,imigrante,RS,1,1,imigrante,RS,1,1,6.0,5.0,1,48.9
2369,2460,barueri,SP,1,1,barueri,SP,1,1,11.0,5.0,1,34.99
2370,998,sao carlos,SP,8,1,sao carlos,SP,8,1,10.88,4.12,8,783.1
2371,1904,birigui,SP,8,1,birigui,SP,8,1,19.38,3.25,8,759.2
2372,363,itatiba,SP,5,3,itatiba,SP,5,3,7.8,3.8,5,359.7
2373,2500,rio de janeiro,RJ,1,1,rio de janeiro,RJ,1,1,5.0,5.0,1,158.0
2374,1948,sao jose dos pinhais,PR,7,1,sao jose dos pinhais,PR,7,1,,1.0,7,258.3
2375,2675,sao paulo,SP,2,1,sao paulo,SP,2,1,7.5,3.5,2,205.75
2376,2800,votuporanga,SP,2,1,votuporanga,SP,2,1,11.5,5.0,2,251.6
2377,2256,sao joao da boa vista,SP,2,1,sao joao da boa vista,SP,2,1,6.5,5.0,2,287.0
2378,1503,francisco beltrao,PR,1,1,francisco beltrao,PR,1,1,8.0,5.0,1,94.49
2379,2945,caxias do sul,SP,2,1,caxias do sul,SP,2,1,8.0,5.0,2,289.8
2380,3077,sao paulo,SP,2,0,sao paulo,SP,2,0,11.5,5.0,2,537.9
2381,350,belo horizonte,MG,1,1,belo horizonte,MG,1,1,8.0,5.0,1,59.0
2382,383,porto ferreira,SP,2,2,porto ferreira,SP,2,2,8.5,4.5,2,219.8
2383,2836,diadema,SP,1,1,diadema,SP,1,1,8.0,5.0,1,22.3
2384,2735,sao paulo,SP,3,1,sao paulo,SP,3,1,8.33,3.33,3,135.7
2385,420,sao paulo,SP,7,1,sao paulo,SP,7,1,7.71,5.0,7,183.0
2386,2900,catanduva,SP,1,1,catanduva,SP,1,1,22.0,4.0,1,21.9
2387,404,itaquaquecetuba,SP,2,1,itaquaquecetuba,SP,2,1,9.5,4.5,2,259.9
2388,2082,caxias do sul,RS,10,1,caxias do sul,RS,10,1,13.1,4.8,10,358.6
2389,2963,sao jose do rio preto,SP,3,1,sao jose do rio preto,SP,3,1,,2.33,3,387.0
2390,3083,americana,SP,15,2,americana,SP,15,2,8.8,4.87,15,884.3
2391,93,sao paulo,SP,10,1,sao paulo,SP,10,1,7.1,4.8,10,349.3
2392,2960,soledade,RS,2,1,soledade,RS,2,1,25.0,1.0,2,578.0
2393,475,caxias do sul,RS,1,1,caxias do sul,RS,1,1,5.0,5.0,1,1009.9
2394,857,sao paulo,SP,3,2,sao paulo,SP,3,2,22.33,4.0,3,307.0
2395,266,sp,SP,1,1,sp,SP,1,1,10.0,5.0,1,41.76
2396,2676,campos novos,SC,1,1,campos novos,SC,1,1,19.0,5.0,1,174.0
2397,794,goiania,GO,3,2,goiania,GO,3,2,22.0,1.0,3,49.6
2398,2716,mogi guacu,SP,1,1,mogi guacu,SP,1,1,9.0,5.0,1,199.0
2399,494,brasilia,DF,2,1,brasilia,DF,2,1,40.0,1.0,2,199.8
2400,2352,sao paluo,SP,9,1,sao paluo,SP,9,1,17.25,4.0,9,5279.91
2401,2040,limeira,SP,3,1,limeira,SP,3,1,10.0,3.67,3,210.0
2402,1602,sao paulo,SP,1,1,sao paulo,SP,1,1,5.0,5.0,1,18.9
